Id;WorkItemType;Title;Assigned To;State;Tags;
30608;Epic;[WEB0311][TIR#347125][DM18000544][Branca de Neve] Identificação do cliente pelo OTP;daniel.da.s.resende;Active;null
30609;Bug;WEB0299.BUG003 - Erro na disposição das labels no fluxo ZeroRating;anderson.renoir;Active;null
30946;Epic;[WEB0320][TIR#XXXXXX] WhatsApp Extra;paulo.pimenta.filho;Active;null
31378;Epic;[CON0017][TIR#347125][DM18000544][Branca de Neve] Identificação do cliente pelo OTP;paulo.pimenta.filho;Active;null
32837;Feature;[WEB0295][Britney - Fase 2];Thiago S. Batista;Active;null
32872;Task;[WEB0295] ATP - API;karolinny.a.silva;Active;null
32875;Task;[WEB0295] ATE - API;karolinny.a.silva;Active;null
32885;Requirement;[WEB0295] Delivery e Coordenação;Thiago S. Batista;Active;null
32891;Task;[WEB0295]  Coordenação DSV - Semana 2;Thiago S. Batista;Active;null
32946;Feature;[WEB0311][Branca de neve][AccessControl];daniel.da.s.resende;Active;null
32947;Requirement;[WEB0311] Autenticacao;daniel.da.s.resende;Active;null
32955;Task;[WEB0311] [Branca de neve] Coding - OAAM;claudivan.a.moreira;Active;null
32961;Task;[WEB0311] [Branca de neve] PTP;william.shinji.assao;Active;null
33054;Task;[WEB0241] FD;e.de.azevedo.filho;Active;null
33603;Epic;[WEB0339][TFS#113588][Projeto 300 Dias][OAG] Criação de API para validação de estoque do SIMCARD;allys.dantas;Active;null
238
